e,a2,a3ba,aba,b,a2b,a3bab,abab,a3,a,a2ba,ba,a3b,ab,a2bab,bab
a2,e,aba,a3ba,a2b,b,abab,a3bab,a,a3,ba,a2ba,ab,a3b,bab,a2bab
a3ba,aba,e,a2,a3bab,abab,b,a2b,a3b,ab,a2bab,bab,a3,a,a2ba,ba
aba,a3ba,a2,e,abab,a3bab,a2b,b,ab,a3b,bab,a2bab,a,a3,ba,a2ba
b,a2b,a3bab,abab,e,a2,a3ba,aba,a2ba,ba,a3,a,a2bab,bab,a3b,ab
a2b,b,abab,a3bab,a2,e,aba,a3ba,ba,a2ba,a,a3,bab,a2bab,ab,a3b
a3bab,abab,b,a2b,a3ba,aba,e,a2,a2bab,bab,a3b,ab,a2ba,ba,a3,a
abab,a3bab,a2b,b,aba,a3ba,a2,e,bab,a2bab,ab,a3b,ba,a2ba,a,a3
a3,a,a2ba,ba,a3b,ab,a2bab,bab,a2,e,aba,a3ba,a2b,b,abab,a3bab
a,a3,ba,a2ba,ab,a3b,bab,a2bab,e,a2,a3ba,aba,b,a2b,a3bab,abab
a2ba,ba,a3,a,a2bab,bab,a3b,ab,a2b,b,abab,a3bab,a2,e,aba,a3ba
ba,a2ba,a,a3,bab,a2bab,ab,a3b,b,a2b,a3bab,abab,e,a2,a3ba,aba
a3b,ab,a2bab,bab,a3,a,a2ba,ba,aba,a3ba,a2,e,abab,a3bab,a2b,b
ab,a3b,bab,a2bab,a,a3,ba,a2ba,a3ba,aba,e,a2,a3bab,abab,b,a2b
a2bab,bab,a3b,ab,a2ba,ba,a3,a,abab,a3bab,a2b,b,aba,a3ba,a2,e
bab,a2bab,ab,a3b,ba,a2ba,a,a3,a3bab,abab,b,a2b,a3ba,aba,e,a2
